Answer,Reference information in full,Explanation in full
"1. Ans. (d) Schizophrenia","Ref: Kaplan and Sadock's Concise Textbook of Clinical Psychiatry 11th ed. pg. 307","The most likely diagnosis in the given case is schizophrenia. The presence of delusions, third person auditory hallucinations, specifically the belief in alien communication and harmful commands, is a characteristic symptom of schizophrenia. The absence of mood disturbance (depression or mania) makes depression and mania less likely diagnoses. own delusions changing from day-to-day or within same day. Acute polymorphic psychotic disorder with symptoms of schizophrenia-along with above description here schizophrenic symptoms present if these symptoms present more than 1 week it is diagnosed as schizophrenia. Acute schizophrenia like psychotic disorder-psychotic symptoms are stable and not polymorphic and schizophrenic symptoms presents for less than 1 month. Other acute predominantly delusional psychotic disorder-main symptoms are delusion or hallucination but not fulfill the criteria of schizophrenia."
"2. Ans. (b) They are perceived in the objective space","Ref: Kaplan and Sadock's Synopsis of Psychiatry 11th ed. pg. 1407-18","Pseudo-hallucinations are sensory experiences that are vivid, detailed, and intense, similar to true hallucinations. It occurs in subjective space, not objective space. However, they are distinct in the sense that they are experienced in the mind's eye, rather than being projected into the external world. Pseudo-hallucinations occur without an external stimulus and are often more dream-like and surreal and not under control of the patient."
"3. Ans. (a) Delusion of persecution","Ref: Neeraj Ahuja pg. 56","Delusion: a belief or altered reality that is persistently held despite evidence or agreement to the contrary, generally in reference to a mental disorder. Delusion of being persecuted against e.g. people are against me."
"4. Ans. (b) Brief psychotic disorder","Ref: Neeraj Ahuja 20th ed. pg. 85-86","Acute and Transient psychotic disorder. According to ICD 10 these have abrupt (less than 48 hrs) or acute (<2 weeks), associated with identifiable acute stress (not compulsorily) regarded as stressful condition to most of the people. Acute onset has better outcome, recovery occur within 2-3 months or even earlier. These should not satisfy the criteria of Organic mental disorder, mood disorder, psychoactive substance use disorder, schizophrenia. Subtypes Acute polymorphic psychotic disorder without symptoms of schizophrenia -from nonpsychotic to psychotic, unstable and variable clinical picture, different type of hallucinations"
"5. Ans. (a) Disorder of thinking","Reference: [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8101695/](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8101695/)","A delusion is a belief that is clearly false and that indicates an abnormality in the affected person's content of thought. The false belief is not accounted for by the person's cultural or religious background or by his or her level of intelligence."
"6. Ans. (b) Cognitive behavioral therapy (CBT)","Ref: Kaplan's Textbook of Psychiatry Ch 29.2","Violence is one of the common psychiatric emergencies. It is characterized by physical aggression of one person on another. It is most commonly associated with psychotic disorder and personality disorders. Management Physical restraint (only if necessary). Give injection of Haloperidol (5 mg) IM/IV with or without lorazepam (2 mg IV). Repeat every 2 hours if necessary. Hospitalization -> referral to psychiatric services for further management. In acute cases ECT can also be used. Note: CBT is not done in any of the acute psychiatric illness including depression."
"7. Ans. (a) Overactivity","Ref: Kaplan's Textbook of Psychiatry Ch 12.8","NEGATIVE SYMPTOMS OF SCHIZOPHRENIA Affect flattening/blunting Alogia (poverty of speech/content) Avolition-apathy (lack of interest/motivation) Anhedonia (a sociality) Lack of attention Note: Over activity is NOT a negative symptom of schizophrenia. Example of positive symptoms: conceptual disorganization, delusions, auditory hallucinations or hallucinations"
"8. Ans. (a) Familiar person replaced by impostor","Ref: Patient Based Approach to Cognitive Neurosciences pg. 155","Negative symptoms are associated with poor prognosis, while positive symptoms are associated with good prognosis. Capgras syndrome: Chronic paranoid psychosis who convinced that multiple persons, including members of family, had been replaced by imposters."
"9. Ans. (b) Nonfamiliar person appears to be familiar","Ref: Patient Based Approach to Cognitive Neurosciences pg. 155","Fregoli syndrome involves the belief that a person who appears to be well known to the patient is truly impersonating. Christodoulou suggested that Capgras syndrome is characterized by a ""hypoidentification"" of a person known by the patient, who is felt to be an imposter, while Fregoli syndrome was the manifestation of ""hyperidentification"" in which a known person could be seen in the disguise of others."
"10. Ans. (b) Echolia","Ref: Harrison's, 19th ed.","Catatonia is a syndrome. It is a state of neurogenic motor immobility and behavioral abnormality manifested by stupor. It can be a part of medical illness or a psychiatric illness. Signs and symptoms: Echolalia: Repetition of words or sentences heard by patient. Ex: what is this color? Patient replies: what is this color. Echopraxia: Repetition of action Rigidity Negativism: Opposition or no response to instructions or external stimuli Automotive obedience: Excessive obeying of command without thinking of its consequence Catalepsy: Waxy flexibility Posturing: Spontaneous and active maintenance of a posture against gravity Mitgehen: Excessive movement with slight pressure Gegenhalten: Resistance of movement with proportional force Staring: Persistent glaring/staring at one place DIAGNOSIS According to ICD 10: Any one symptom if present is diagnostic DSM 5 says: Any 3 symptoms present is diagnostic Treatment: IV Lorazepam Note: Cataplexy is a symptom of narcolepsy, while catalepsy is a feature of catatonia."
"11. Ans. (c) Schizophrenia","Ref: Harrison, 19th ed. pg. 2720","Hallucinatory voice commenting (keeping up a running commentary) on one's behavior, thought or action in the third person (third person hallucination) is a classical presentation of schizophrenia. The patient presented here presents with 3rd party auditory hallucination, which is a very characteristic finding of Schizophrenia. TABLE: Diagnostic criteria for schizophrenia according to ICD 10 and DSM-V ICD-10 A. At least one of the following: echoing/insertion/ withdrawal/ broadcasting of thought, delusional perceptions, hallucinatory voices, impossible delusions of some kind. or B. At least two of the following: persistent hallucinations in any modality, incoherence or irrelevant speech, catatonic behaviour, negative symptoms C. Present for most of the time for at least 1 month D. Disorder is not caused by substance use or organic brain disease DSM-5 A. At least two of the following (at least one must be 1, 2 or 3) for at least 1 month: 1. Delusions, 2. Hallucinations, 3. Disorganized speech, 4. Grossly disorganized or catatonic behaviour, 5. Negative symptoms B. Level of functioning has to be significantly and long term lowered compared to the previously achieved level C. Continuous signs of the disturbance persist for at least 6 months, must include criteria A symptoms for at least 1 month D. Schizoaffective disorder and depressive or bipolar disorder with psychotic symptoms ruled out E. The disturbance is not caused by substance use or medical conditions F. If patient has a history of autism spectrum or communication disorders from childhood, schizophrenia diagnosis can be made in case of prominent delusions or hallucinations and other required symptoms of schizophrenia are present for at least 1 month ICD-10: The International Statistical Classification of Diseases and Related Health Problems, 10th revision DSM-5: The Diagnostic and Statistical Manual of Mental Disorders, 5th edition Negative symptoms respond poor to treatment (poor prognosis) while positive symptoms are well responsive to treatment (better prognosis). Positive Symptoms Hallucination Delusion Illusion Thought disorder Aggressive behavior Irrational conclusion Negative Symptoms Anhedonia: loss of interest in things which were interesting before Avolition: lack of desire to achieve goal Alogia: poverty of speech Attention deficit and cognition deficit Social withdrawal/poor socialization skill Emotional blunting"
"12. Ans. (b) Clozapine","Ref: Harrison, 19th ed. pg. 2271, 3617","The patient here is a case of resistant schizophrenia as the auditory hallucination is not responding to treatment. As we know that: Auditory hallucinations are first symptom to go with treatment and side Ex-symptoms to reappear after drug resistance. Clozapine is: A reserve drug for resistant schizophrenia The one with least extra pyramidal side effects (ex-tardive dyskinesis) Major side effect of clozapine is agranulocytosis, sedation, orthostasis, weight gain and metabolic syndrome. Extra Mile Antipsychotic Longest acting - Paliperidone (Inj) With antidepressant action - Flupenthixol Least extrapyramidal side effect - Clozapine Least potent - Thioridazine Least Hypotensive & Least Antiemetic - Molindone"
"13. Ans. (b) Altered sensorium","Ref: Harrison, 19th ed. pg. 2270-71","Schizophrenia is a formal thought disorder, characterized by third person hallucination & inappropriate emotion (affect). Altered consciousness (sensorium) is a characteristic feature seen in delirium (not in schizophrenia) Characteristics Only 3rd person auditory hallucinations are characteristic of schizophrenia. Third person hallucination means: Two or more voices talking to one another, discussing about the patient; and giving a running commentary on his actions or thoughts. Auditory hallucination is most characteristic of schizophrenia."
"14. Ans. (c) Visual hallucinations","",""
"15. Ans. (c) Gradual onset","Ref: Harrison, 19th ed. pg. 2271","Prognostic factor of Schizophrenia Good prognostic factor Female sex Acute onset (late onset) No family history of schizophrenia History of depressive order Premorbid personality Positive symptoms Bad prognostic factor Male sex Gradual onset (early onset) Family history of schizophrenia Emotional blunting Negative symptoms"
"16. Ans. (b) Catatonic","Ref: Harrison, 19th ed. pg. 2271","Catatonic schizophrenia has best prognosis TABLE: Types of Schizophrenia Paranoid Most common type Late onset It has more positive and less negative symptom Has better prognosis Hebephrenic Early onset Personality and emotions get affected Poor prognosis Catatonic Due to imbalance of NT, there is hyperactivity and hypoactivity BEST prognosis Simple No positive symptom at all Only negative symptoms Worst prognosis Undifferentiated Can't be categorized in one particular category Has A1 category."
"17. Ans. (b) Conduct disorder","Ref: Ahuja 5th ed. pg. 173, Kaplan, 9th ed. pg. 1234-6","The child is not normal and suffers from conduct disorder. TABLE: Differentiation between different disorders mentioned in the question Autism There is marked impairment of reciprocal social and interpersonal interaction Absence of social smile Absence of fear Lack of attachment to parents Mind prevents separation anxiety Lack of friends Attention deficit disorder More common in males. The onset occurs before the age of 7 years, characterized by poor attention span with distractibility Hyperactivity Impulsivity Moving about here and there Conduct disorder There is violation of rights and rules like: Frequent lying Stealing or robbery Running away from home & school Physical violence Cruelty Poor at studies"
"18. Ans. (c) Automatism","Ref: Kaplan & Saddock, 10th ed. pg. 468","Autism: NOT automatism is part of Bleuler's four As Eugene Bleuler's Fundamental symptoms of schizophrenia (4 As of Bleuler) Ambivalence-Inability to decide for or against (volition) Autism-Withdrawal into self Association disturbance-Loosening of association, thought disorder Affect disturbance-Inappropriate affect"
"19. Ans. (d) Delusion of guilt","Ref: Harrison, 19th ed. pg. 2271","Schneider's first rank symptoms of schizophrenia include: Hallucination, Delusion (primary delusion, NOT delusion of guilt), Passivity (made) phenomenon, and Thought alienation phenomenon. Presence of one symptom is diagnostic of schizophrenia. Hallucination Hearing Audible thought Voice heard arguing or discussing or both Voice heard comment on one's action Hallucinations in form of commentary 3rd person hallucination Somatic hallucination Thought Alienation Phenomenon Thought withdrawal Thought insertion Thought broadcasting Passivity Made feeling (affect) Made impulse Made volition Somatic passivity Delusional Perception Primary delusion"
"20. Ans. (c) Dopamine","Ref: Harrison, 19th ed. pg. 215","Antipsychotics targeting positive symptoms probably do by blocking the postsynaptic dopamine (D₂) receptors in the mesolimbic system. Other receptors such as 5 HT, muscarinic receptors and GABA are also probably important. Atypical antipsychotics are also called as Serotonin Dopamine Antagonists (SDAs) due of their action on both dopamine and 5-HT. Hyperactivity of DA receptor causes positive symptoms Their blockage of D2 antagonist relieves from positive symptoms Underactivity of NMDA receptor is responsible for negative symptoms."
"21. Ans. (c) Auditory hallucination","Ref: Kaplan and Sadocks Synopsis of Psychiatry, 10th ed. ch-13",""
"22. Ans. (d) Delusions","",""
"23. Ans. (a) Approximate answer","Ref: Kaplan and Sadocks Concise Textbook of Clinical Psychiatry 3rd ed. pg. 302",""
"24. Ans. (a) Premature ejaculation","","Squeeze technique is used in premature ejaculation"
